ID,Character,Gender,Turkish,MSA,Syrian_Arabic
16,İnci,Female,Peki sen günün için ne dedin?  Sevindin mi?,وماذا قلت عن يومك؟ هل ابتهجت؟ ,طيب اليف شو قال لما شافك . انبسط صح ؟
17,Selim,Male,Neydi o aşağıdaki lafların?  Senin.,ما كان تلك الكلمات التي قلتها من الأسفل؟ أنتَ.,ليش تركتينا وطلعتي ؟
18,Zeynep,Female,Ne yapayım ben de Elif üzülmesin dedim.,لذا قلت لا أريد أن أحزن الفة. ,كانت زعلانة وخايفة امها تعصب منها
19,Selim,Male,Gerçekten böyle önemli bir konuyu bize nasıl anlatmasın diyorum?,أنا حقاً أتساءل كيف لم تخبرينا بموضوع مهم كهذا؟ ,كان لازم تخبرينا لنتعامل مع القصة وما تسمعي كلاما
20,Selim,Male,Ya olayın ne kadar vahim ya da tehlikeli  olduğunun farkında değil misin sen?,هل أنتِ غير مدركة لمدى خطورة أو حرج الموقف؟ ,تخيلي لو صرلا شي شو كان موقفك بوقتا تفضلي قليلي ؟
21,Selim,Male,Sen nasıl gizlersin bunu bizden?,كيف يمكن أن تخبئي هذا عنا؟ ,كيف قدرتي تعملي هيك؟
22,Zeynep,Female,Niye böyle düşünüyorsun diye sorduk mu?  Yok.  Tamam.,وقلنا اِنهاء الأمر إذاً,صدقناها او حتى عطيناها فرصة تحكي؟ .لا
23,Selim,Male,Seni gerçekten beni çok şaşırtıyorsun.,أنتِ حقاً تفاجئينني. ,بتعرفي زينب انا متفاجئ فيكي كتير
24,Elif,Female,Sen de sonunda konuşacağız demiştin.,كنتِ قد قلتِ في النهاية سنتحدث. ,بس. ماما . قلتيلي .انو رح نحكي بعدين
25,Elif,Female,Sana söylememesini ben istedim ondan.,كنت أنا من طلب منه ألا يخبركِ. ,وانا قلتلها ما تخبرك . لانو خفت  تعصبي مني
26,Elif,Female,Bana kızacaksın diye çok korkmuştum.,كنت خائفة جداً أن تغضبي مني. ,شوف عمو يوسف واطمن عليه بس
27,Melek,Female,Benim amacım seni kırmak değildi.,لم يكن هدفي أن أجرحك. ,سمعيني انا ما كان قصدي اجرحك ابدا
28,Zeynep,Female,Keşke ben de karakola gidip ilk Elifi aldığım anda arasaydım seni.,يا ليتني ذهبت إلى مركز الشرطة واتصلت بك أول ما أخذت ألفة. ,يا ريتني دقيتلك وخبرتك . وقت رحت وشفت اليف بمخفر الشرطة
29,Elif,Female,Anne ben hak ki yasama kadar geldim.  Sen oraya kadar gelme.,أمي لقد وصلت ، لا تأتي حتى هناك. ,مافي داعي تستني هون ماما خلص ح روح مع حقي عالصف
30,Melek,Female,Bir şeyin açıklığı versin bir tanem.  Bak.,لتكن كل الأمور واضحة يا عزيزتي.  انظري.,وانتبهي على دروسك منيح  اي
31,Orhan,Male,Çıkacaksın kardeşim.  Sen içini ferah tut.,ستخرج يا شقيقي.  كن مرتاح البال. ,ورح تطلع عن قريب لا تقلق منوب
32,Orhan,Male,Yani hani suçsuz olduğuna ikna edip şikayetini geri çeksin diye mi?,يعني لإقناعها ببراءتك وسحب شكواها؟ ,يعني انت . بدك حاكيها واطلب منها تتنازل عن حقها وتسقط الدعوى ؟
33,Suna,Female,Melek abla nerelerdeydin sen ya?  Çok özledik seni.,أين كنت يا مريم أخت؟ افتقدناك كثيراً. ,وين هالغطة اختي ملك معقول والله اشتقنالك كتير
34,Behriye,Female,Sen yoksun diye çalışamadılar yazık.,لما لم تكوني هنا لم يستطيعوا العمل، مسكين. ,ومشغول بالن عليكي لدرجة ما عرفو يشتغلو
35,Gülay,Female,Öyle mi?  Çok geçmiş olsun.,حقاً؟ أتمنى لك الشفاء العاجل.,عنجد . الف الحمد لله ع سلامتك
36,Selim,Male,Henüz şirket sahiplerinin ismini açıklamamış olmasın.,لم تعلن بعد عن أسماء مالكي الشركة.,ولكن لم يتمكنوا من معرفة مالك هذه الشركة
37,Selim,Male,"İsimleri niye açıklamıyorlar?  Abla sen neden böyle yapıyorsun?  Ya biz kaç defa konuştuk.  Selim konuştuk evet.  Ama ben, ben Ümite güvenmiyorum.  Abla bak haksızlık ediyorsun.  Ya Ümit ne kadar heyecanlıydı bu ihale konusunda görmedin mi?  Sorun da tam olarak bu ya.  Ümitimizi katılmaya,  ikna etmeye çalıştı o ihaleler.  Neyi kastediyorsun?  Ne var bunda abla?  En az bizim kadar büyük bir şirket.  Ya doruklarda aynı hale girmemiz kadar normal bir şey yok.  Abla biz büyük balık yakalama peşindeyiz anladın mı?  Selim ya gözünü seveyim Ümitin laflarıyla onu bana savunma.  Ya görüyorsun işte her şey ortada.  Ya ortada olan ne?  Ben niye hiçbir şey görmüyorum?  Çünkü inanmıyorsun Selim.  O yüzden hiçbir şey görmüyorsun.  Ailemize oynanan büyük bir oyun var ortada.  Neymiş o?  Ümit, doruklar şirketinin sahibi.  Seni de bitirmeye çalışıyor.",لماذا لا يعلنون عن الأسماء؟ أختي لماذا تفعلين ذلك؟ لقد تحدثنا عن هذا مرات عديدة. نعم تحدثنا سليم. لكنني، أنا لا أثق في أوميت. أختي أنت تظلمينه. ألم تري كم كان أوميت متحمساً لهذا العطاء؟ المشكلة تكمن هنا بالفعل. أوميت يحاول الانضمام، إقناعهم للمشاركة في تلك العطاءات. ماذا تقصدين؟ ما الخطب في ذلك يا أختي؟ إنها شركة كبيرة مثلنا تماماً. ليس من الغريب أن نكون في نفس القمة مع دوروك. أختي نحن نسعى لصيد كبير، هل تفهمين؟ سليم لا تُدافع عن أوميت بكلامه لقد قُلت لك كل شيء واضح. ما الذي أمامك؟ لماذا لا أرى شيئاً؟ لأنك لا تؤمن يا سليم. لهذا لا ترى شيئاً. هناك لعبة كبرى تُمارَس ضد عائلتنا. ما هي؟ أوميت، هو مالك شركة دوروك. يحاول إنجازك.,وليش مو معرف عن حالو
38,Ümit,Male,Bu arada Remziye anneye balayına gidiyoruz dedim.  Bilgin olsun.,بالمناسبة، أخبرت والدتي رمزية أننا سنذهب في شهر العسل. كن على علم بذلك.,بالمناسبة قلت لأمي رايحن عشهر العسل . لحتى تعرفي
39,Suna,Female,Hem niye öyle git gari yapıyorsun ki?,ولماذا ترحل بسرعة؟,أصلاً كيف بدك تروحي وأنتِ هيك ؟
40,Suna,Female,E bak ayağımda sakat diyorsun otur burada sıcak sıcak.,اذكري أنك قلت أن لديك إصابة في قدمك، اجلس هنا في دفء.,عم تقولي رجلك عم تجعك قعدي ارتاحي شوي
41,Gülay,Female,Onlardan getir de Melek ablana rahat etsin Ceyda.,أحضري منها لتكون ملاك أختك مرتاحة، سيدتي.,جيبي وحدة لملك خليها تقعد عليها وترتاح
42,Taylan,Male,Elif bak icadımızı herkes duymuş gördün mü?,انظري إليف، الجميع سمعوا باختراعنا، رأيتِ؟,اليف شفتي كيف كل الطلاب سمعوا باختراعنا ؟
43,Orhan,Male,Senin bu halin nedir Yusuf ya?,ما بك يا يوسُف؟,يا زلمة مشتهي افهم شو قصتك ؟ !
44,Orhan,Male,Bilerek isteyerek yapmadın ki be kardeşim.,لم تفعل ذلك عمدًا يا أخي.,اي بس انت ما ساويت هيك عن قصد يا اخي
45,Orhan,Male,"Sen dışarıda olduktan sonra,  bu işi ele attıktan sonra",طالما أنك في الخارج، وطالما أنك تصر على معالجة الأمر,من بعدما ما طلعت من السجن . فينا نتعاون سوا
46,Yusuf,Male,İnsanın senin gibi dostluğunun hızı çok güzel.,سرعة صداقة الإنسان مثلك جميلة جدًا.,جد انا محظوظ لأنو عندي رفيق منيح متلك
47,Ümit,Male,Her şeyden uzakta.  Sadece sen ve ben.,بعيدًا عن كل شيء. فقط أنتِ وأنا.,ونبعد عن كل العالم . أنا واياكي لوحدنا
48,Ümit,Male,Hem seni suçlu olduğunu ispat edemezler ki.,ولا يمكنهم إثبات أنكِ مذنبة.,أصلاً . ما عندهن أيا اثباتات أو أدلة عليكي
49,BOY C 499,Male,Sıkışsa gidin hadi.  Ne oldu?  Gitsenize bücürler.,إذا كنتم مكبوتين فاذهبوا هيا. ماذا حدث؟ فلترحلوا أيتها الأقزام.,تحركوا إذا بتسترجوا ولا ما تكونوا خايفين مننا يا صغار
50,Orhan,Male,Bu olayda senin bir suçun yok,ليس لك أي ذنب في هذه القضية,اللي صار هلق عبارة عن حادث
51,Orhan,Male,Sen hep adaletten yanı oldun.,كنت دائمًا في صف العدالة. ,طول عمرك بطرف العدالة
52,Orhan,Male,Yani bunun için  senin başa,يعني لذلك لا أسمح لك,يعني هلق
53,Orhan,Male,"Bak ben seni geç buldum,  erken de kaybetmek istemiyorum.",انظر، قد وجدتك متأخرًا، ولا أريد أن أفقدك مبكرًا. ,ليك يوسف أنا ما صدقت على الله كيف قدرت لاقيك من جديد فهمتني؟
54,Orhan,Male,Allah Allah gamlı baykuş gibi çöktün tepeme kaldın ya arkadaş.,يا إلهي، لقد تصرفت وكأنك بومة حزينة وجعلتني بحذرك. ,شو هالحكي هاد طولي بالك وخلينا نعرف نشتغل سوا على رواق  ونحلا
55,POLICE D 499,Male,Diyorum ki bu kadın bu suçları nasıl işlemiş?,أقول كيف استطاعت هذه المرأة ارتكاب هذه الجرائم؟ ,وعم اتخيل كيف وحدة متلك فيها تساوي كل هالجرايم ؟
56,POLICE D 499,Male,Salı günü saat 2de neredeydin?,أين كنت يوم الثلاثاء الساعة 2؟ ,وين كنتي . التلاتا الساعة 2 ؟
57,POLICE E 499,Male,"Ama sen,  Valarcadaki terk edilmiş fabrikadaymışsın.",لكنك كنت بالمصنع المهجور في فالاركا. ,بس انتي . كنتي موجودة بمعمل مهجور و بآخر الدنيا
58,Arzu,Female,Bu kadın bana kafayı takmış durumda.,هذه المرأة مهووسة بي. ,هي المراة عم تتحطط عليي
59,POLICE E 499,Male,Ne o?  Çabuk sıkıldın bizden.,ما الأمر؟ ضجرت منا بسرعة. ,شو ؟ .  شكلك مليتي بسرعة
60,POLICE E 499,Male,Senin adamın olduğunu söylüyor Yusufun.,يقول إنه رجلك يوسف. ,مكتوب انو يوسف احد من رجالك
61,POLICE E 499,Male,Üstelik Melek Özeli de ona sen vurdurduk.,بل وأنت جعلته يطلق النار على ملك أوزيل أيضًا. ,وأنك . طلبتي منه
62,POLICE B 499,Male,Ben senin o üç kuruşu neden verdiğini biliyorum.,أنا أعلم لماذا أعطيت الثلاثة قروش. ,أنا بعرف انكن عطيتوه مبلغ محرز للزلمة
63,POLICE D 499,Male,Senin de bununla kötü kokular geliyor mu?,هل تصدر لك أيضًا روائح سيئة؟ ,مو حاسس انو في شي غريب بالقصة ؟
64,POLICE E 499,Male,Peki niye o zaman bu kadın seni suçluyor?,إذن لماذا تتهمك هذه المرأة؟ ,طيب . معناها ليش لتتهمك هي المرا ؟
65,POLICE C 499,Male,Hadi ya ne bekliyordun acaba?,هيا، لا أدري ماذا يمكن أن تتوقع. ,لا تقولها لكن شو كنت متوقع ؟
66,Ümit,Male,"Yani o evlilik hayali kuran,  o sıcak mutlu bir yuvası olsun isteyen",يعني هي التي تحلم بالزواج، وتريد منزلًا دافئًا سعيدًا,هية مرة بريئة عم تحلم بالزواج وكل اللي بداياه انو تعمل عيلة صغيرة
67,İsal,Female,Yani güya uğramaya geldin ama çalışıyorsun.,يعني جئتِ لزيارة، لكنكِ تعملين. ,ليكي انتي جيتي لعنا زيارة وبس فوقفي عن الشغل . إذا بتريدي مشان الله
68,Melek,Female,Senin ne işin var burada?,ماذا تفعل هنا؟ ,أنتَ شو عم تساوي هون ؟
69,Melek,Female,Bu yaptıklarından sonra sen nasıl dışarı çıkabildin?,بعد الذي فعلته كيف يمكنك الخروج؟ ,فهمني كيف طالعوك بعد كل شي ساويتو ؟
70,Melek,Female,O iş bilir avukatını her şeyin kılıfına uydurmayı başardın değil mi?,نجحتَ في تكييف كل شيء حسب قانون محاميك المميّز، أليس كذلك؟ ,قدرتو تلفلفو القصة مع محاميك الشاطر ما هيك ؟
71,Aliya,Female,Al al acele nereye gidiyorsun böyle?,إلى أين تذهب بسرعة هكذا؟ ,ليش مستعجل لوين رايح ؟
72,Taylan,Male,Sen de bizi bahçede görünmeyince gelirler mi sınıfa?,هل يأتون إلى الفصل عندما لا يروننا في الحديقة؟ ,برأيك  إذا ما شافونا بالباحة . رح يجوا علينا على الصف ؟
73,Selim,Male,Neyse abla gel gel.  İçeri girince öğreneceksin.  Allah kahretsin.,لا بأس أختي، تعالى تعالى. ستعرفين عند الدخول. اللعنة. ,بسيطة ولا يهمك . هلق منفوت ومنفهم كل شي
74,Arzu,Female,Nereden biliyorsun ha?  Gördün mü beni nereden biliyorsun?,كيف عرفتِ إذن؟ هل رأيتني، كيف عرفتِ؟ ,طيب وين شهودك ؟ . وين اللي شافوني وخبروكي ؟
75,Selim,Male,Bu işten paçayı öyle kolay sıyıramayacaksın Arzu Hanım.,لن تفلتي بسهولة من هذا الأمر سيدتي عرزو. ,ليكي ما رح تنفدي بسهولة من هالقصة  يا ست ارزو
76,Selim,Male,"Komiser Bey, ben de gelebilir miyim?  Bu kadın yaptığı her şeye şahit oldum.",سيدي الضابط، هل يمكنني الانضمام أيضاً؟ لقد كنت شاهداً على كل شيء فعلته هذه المرأة. ,حضرة الضابط فيني ادخل . انا شاهد على كل شي عملتو
77,Arzu,Female,Sen ne diyorsun ya?  Delirdin mi sen?,ماذا تقول؟ هل جننت؟ ,أنتِ شو عم تقولي أكيد جنيتي !
78,Arzu,Female,Bu kadın büyük bir hezeyan içinde ve  anlattıklarında hiçbir gerçeklik payı yok.,هذه المرأة في حالة هذيان كبيرة، وما تقوله ليس له أي مصداقية. ,كلامها مانو واقعي أبداً . اللي عم تخبرنا ياه بعيد عن الحقيقة
79,Selim,Male,O kadın şeytana bile pabucunu ters gelir.,تلك المرأة قد تجعل الشيطان نفسه يحمل حذاءه بالعكس. ,هي مرا شيطانة  بتلعب على كل الحبال
80,Melek,Female,Benim içim hiç rahat etmiyor seni.,لا أشعر بالراحة نحوك. ,أنا كتير خايفة سليم
81,Elif,Female,Amirim sen de mi geldin?,حضرة الضابط، هل أتيت أنت أيضاً؟ ,عمي ليش اجيت مع الماما ؟
82,Aliya,Female,Bu kadın şeytana pabucunu ters giydirir.  Ters.,هذه المرأة تُعلِّم الشيطان الخبث.  خبث. ,هي مرا شيطانة ما حدا بيقدر عليها . أبداً
83,Yusuf,Male,Yani Orhan saçma gelmiyor mu sana?,ألا يبدو لك هذا غير منطقي، أورهان؟,يعني اورهان . مو كأنو في حلقة مفقودة ؟
84,Arzu,Female,Eğer sen olmasaydın ben bu işten kolay kolay sıyrılamazdım.,لو لم تكن أنت، لما استطعت الهروب بسهولة من هذه الأمور.,لو ما كنت معي . اكيد ما كنت رح أخلص من الورطة اللي كنت فيها
85,Ümit,Male,Senin için her şeyi yaparım demiştim.,قلت لكِ سأفعل أي شيء من أجلك.,قلتلك انا بعمل أي شي كرمالك
86,Yusuf,Male,Deli mi bu kadın?  Neden uğraşıyor ki?,هل هي مجنونة؟ لماذا تسعى وراء هذا الشيء؟,هي اكيد مجنونة شو دخلا ملك
87,Gülay,Female,"Hem haksızlık ediyorsun,  biz burada göz nuru döküyoruz,  sen sınırlı duruyorsun ortada.  Oh ne hala.",وظلمًا، نحن نبذل جهودًا كبيرة هنا، وأنتِ تقفين متمركزة هنا في الوسط.  يالها من نعمة. ,هاد مو عدل كلنا عم نشتغل ونتعب وأنتي بس واقفة هنيك او عم تتفتلي بيناتنا ما بيصير هالحكي
88,Gülay,Female,Şurada da beş dakikaya duruyorsun ya  durmuyorsun hemen gidiyorsun başka odaya.,في غضون خمس دقائق تقفين هنا، ثم تُغادرين فورًا إلى غرفة أخرى. ,حتى ما بتضلي بالمشغل كتير مدري لوين بتحملي لحالك وبتروحي
89,Gülay,Female,Senin yokluğunda hemen ustabaşı oluverdi.,في غيابك أصبحت رئيسة العمل فورًا. ,جنابا عينت حالا مسؤولة علينا بغيابك
90,Melek,Female,Sunacığım sen de diğer gömlekleri getirsin ben onlara başlarım.,عزيزتي سونا، أحضري القمصان الأخرى حتى أبدأ بها. ,سونا . انتي جيبي القمصان التانيين . حتى نبلش فيهن
91,Selim,Male,Ben senin nerede olduğunu tahmin ediyorum ya.,أعتقد أنني أعرف أين أنت.,والله متوقع وين حتكون موجود هلأ
92,Ümit,Male,Arzu artık senin Doruklarla ne alakan kaldı?,أرزو، ما شأنك الآن بالدوروك؟ ,اي بس انتي شو إلك علاقة بشركة دوروكلار ؟
93,Ümit,Male,Sana oradan bir şey çıkmaz.,لن تحصل على شيء من هناك. ,ما فيكي تاخدي الاسهم منها
94,Arzu,Female,En biliyorsun kahvenin kırk yıl hatıra var.,فأنتِ تعرفين كيف يُذكر القهوة لمدة أربعين عامًا.,يعني بتعرفي . هيك الأصول والواجب يا روحي
95,Arkut,Male,"Arzu, bilmeceyi bir konuşma.  Ne diyorsun ya?",أرزو، لا تتحدثي بالألغاز. ماذا تقصدين؟ ,أرزو . احكي بوضوح و حاجة تحكي بالألغاز
96,Arzu,Female,Adam öldü ama sen hala ekmeğini yiyorsun.,الرجل مات لكنكِ ما زلتِ تقتاتين عليه.,يعني الزلمة مات . وتركلك كل هاد لتعيشي منو
97,Arzu,Female,"Bütün parasını üstüne kondun,  şimdi de böyle başarıdan başarıya koşuyorsun.",أخذتِ كامل ماله والآن تزدهرين من نجاح إلى آخر.,واستثمرتي هالثروة منيح . وقدرتي تكبري على حساب اسمو ومعارفو
98,Gonca,Female,Ne hakkı ya?  Hiçbir şey alamazsın.,أي حق؟ لن تأخذي شيئًا.,حق شو هاد؟ . مالك عندي شي
99,Arzu,Female,Sen de uğraşıyorsun ama başaramayacaksın.,وأنتِ تحاولين كذلك، ولكنكِ لن تنجحي.,وما رح اسمحلك كمان . رح اخدو منك
100,Gonca,Female,Senin daha fazla zırh balıklarını dinlemek istemiyorum.  Hemen çık git şirketimden.,لا أريد أن أستمع إلى المزيد من كلامك الفارغ. اخرجي فورًا من شركتي.,وما عاد بدي اسمع ولا كلمة منك ولو سمحتي اطلعي من شركتي فوراً
101,Arzu,Female,İstediğimi anladın.  Şuradan şuraya gitmeyeceğim.,فهمت ما أريده. لن أتحرك من مكاني هنا.,قبل ما اخد اللي بدي ياه . ما رح روح على أي مكان
102,Arzu,Female,"Sana imza alıyorsun, şerh de ortadan kalkıyor.  Ben de hakkım olanı anlıyorum.",عندما تأخذين توقيعي، الشَر يختفي. وأنا أفهم ما هو حقي.,يلا وقعيلي عالورقة . وخلينا نفك تجميد الحساب . مشان اخد حقي
103,Arkut,Male,Arzu yeter artık ya uzamasın bu mevzu daha.,أرزو، يكفي، لا تطيلوا هذه المسألة أكثر.,أرزو . بيكفي خلصنا . ما ملاحظة انك زودتيا ؟
104,Arzu,Female,Ne uzatması Erkut ya?  Bu kadın,ما الذي أطيلته، إركوت؟ هذه المرأة,انا ما زودتا ارقوط
105,Gonca,Female,Hayır efendim.  Kuyruğunu da alıp bir güzelce defolup gidiyorsun buradan.  Hayır.,لا سيدي. امسك بندك واغادر من هنا. لا.,لا يا خانوم . ما رح وقع على شي وكمان رح تطلعي من مكتبي فورا
106,Gonca,Female,Sen de bize iki kahve söyler misin?,هل يمكنك أن تطلب لنا قهوتين؟,ابعتيلنا فنجانين قهوة
107,Arkut,Male,Hem o bitirmeye çalıştığınız düşmanınızla  karşılaşmak istemezsin sen dedim ha.,وقلت أنك لن تريدين مواجهة عدوك الذي حاولت إنهاءه.,بعتقد انو مالكن حابين تشوفي عدوكون سليم وتتواجهو معو بهالوقت صح ؟
108,Selim,Male,Ne?  Niye böyle bir şey yapsın ki?,ماذا؟ لماذا قد يقوم بشيء كهذا؟,شو ؟ . ليش بدو ينتقم مننا ؟
109,Ümit,Male,Bir daha geliriz ne olacak?  Öyle ya da böyle alacağız bu imzayı tamam.  Sen hiç merak etme.,سنعود مرة أخرى، سنحصل على التوقيع بهذه الطريقة أو تلك، لا تقلق.,لا تزعجي حالك حبيبتي . رح نجي مرة تانية وح نخليها توقعها تمام ما تشغلي بالك
110,Ümit,Male,"Dur, dur, dur.  Ne yapıyorsun ya?  Selim içeride.  Bana ne?",توقف، توقف، توقف. ماذا تفعل يا؟ سليم في الداخل. ما يهمني؟,أرزو . استني استني عندك شو عم تعملي سليم جوا
111,Ümit,Male,Beni görsün mü istiyorsun?  O kadar hazırladığımız plan her şey boşa gitsin mi istiyorsun ha?,هل تريد أن يراني؟ هل تريد أن يذهب كل التخطيط الذي أعددناه سدى؟,بدك كل خططنا وجهودنا تروح عالفاضي بس مشان تخلي غونجا توقع هلأ ؟
112,Arkut,Male,Söyledin mi peki arzunu adam oldun?  Yok hayır.,هل أخبرته على الأقل أنك أصبحت رجلاً؟ لا، لم أفعل.,خبرتيه إنو هو زلمة أرزو ؟
113,BOY C 499,Male,Yaptığında icat olsa bari sen git o limonlarını pazarda sat.,لو كان ما تفعله اختراعًا على الأقل، اذهب لبيع ليمونك في السوق.,مفكر حالك اخترعت اختراع عظيم روح بيع الليمون احسن من هالمسخرة
114,BOY B 500,Male,İcatçılık değil pazarcılık yakışır sana.,الاختراع ليس لك، السوق هو مكانك.,انت ما خرجك تكون مخترع اصلا بياع وكتير عليك
115,BOY A 499,Male,Biraz kal da aklın başına gelsin bücür.,ابق قليلاً حتى تعود لعقلك أيها القصير.,رح تبقى هون . لحتى يرجعلك عقلك يا غبي
116,Ayla,Female,Mesela beni niye hiç aramadın?,مثلاً لماذا لم تتصل بي أبدًا؟,مثلاً ليش ما بلتصل فيني؟
117,Ayla,Female,Görmem mi?  Çok yoğunsun baksana.  Müşteri kaynıyor.,كيف لا أرى؟ مشغول جداً، انظر، الزبائن تأتين باستمرار.,إي شايفة . باين مشغول كتير . والزباين فوق بعضن
118,Gülay,Female,Kadıncağız o ayakla nasıl koşturuyor görmüyor musun?,ألا ترون كيف تركض السيدة بذاك القدم؟,مو شايفة قديش عم تشتغل مع انو وضع رجلها صعب ؟
119,Melek,Female,Olmaz olmaz sen merak etme.,لن يحدث، لا تقلقي.,ما رح يصير شي عليي لا تخافي
120,Melek,Female,Neyse ben devam edeyim kolay gelsin.,على أي حال، سأتابع العمل، بالتوفيق.,ع كلن . رح ارجع عالشغل يعطيكي العافية
121,Elif,Female,Acımaya dönüyorum endişelenme kurtaracağım seni oradan.,سأعود للحساسية لا تقلق سأنقذك من هنا.,انا عم حاول افتحو لا تخاف رح طالعك من هون اتفقنا؟
122,BOY A 499,Male,Ne o?  Hiç sesin çıkmıyor.  Verdi mi karını?,ما هو الأمر؟ لا صوت لك. هل أعطيتك زوجتك؟,شو . اكيد اخدت قرارك هات لشوف
123,BOY B 500,Male,yakılacaksın değil mi yarışmadan?  Hayır.,أنت مُبعد من المنافسة، أليس كذلك؟ لا.,اكيد رح تنسحب من المسابقة
124,Selim,Male,Ben de seni bekliyordum abla.,كنت أنتظرك أيضاً يا أختي.,كنت ناطرك لحتى تجي
125,Aliya,Female,Allahım sen aklıma mukayyet ol.,يا الله احفظني دوماً. ,حسبي الله ونعم الوكيل منو
126,Zeynep,Female,İyi de biz ne yapmış olabiliriz ki ona bize böyle düşman olsun?,حسناً ولكن ماذا فعلنا له ليصبح عدونا؟ ,طيب بس . ليش يعني بدو ينتقم منا سليم شو ساوينالو ؟
127,Gülay,Female,Vallahi daha benim afyonum patlamadı  sen makinenin başına geçmişsin bile.,باللهِ، لم أستيقظ جيدًا وتجلسين أمام الآلة بالفعل. ,اي واللهي أنتِ شكلك رح تخلصي شغلك وأنا لسا ما صحصحت من نومي حتى!
128,İsal,Female,Ya Melekciğim ya sen bir de bu ayakla çalışıyorsun.,يا عزيزتي ملاك، تعملين وأنتِ في هذه الحالة. ,طيب ملك بدك تضلي تشتغلي ورجلك بهي الحالة ؟
129,İsal,Female,Hem sen pansumona gitmeyecek miydin bugün?,أوليست لديك مراجعة للجراحة اليوم؟ ,ما بدك تروحي عالمشفى تغيري على جرحك ؟
130,Faysal,Male,Niye lan?  Ne varmış?  Ne güzel kız oldun böyle bıcır bıcır.,لماذا يا فتى؟ ما الخطأ في ذلك؟ إنها فتاة جميلة وتبدو لطيفة جداً. ,ليش ولى ؟ . شو ناقصها ؟ . صدقني إنتو التنين لابقين لبعض
131,Ayla,Female,Afiyet bal şeker olsun.  Ve selamcacığım.,ليكن طعامك بالصحة والعافية. وديعة سلام. ,صحة وهنا على قلبك عمي فيصل
132,Melek,Female,Ya bu elimdekiler bitsin çıkacağım ben de zaten.,بمجرد أن أنتهي من هذه الأمور التي بيدي سأغادر أيضاً. ,انا بس رح خلص هي القطعة الي بايدي  وأمشي
133,Suna,Female,O zaman ben çayın altını söndürmüyorum.  İçersin sen.,إذًا أنا لن أطفئ الماء للمطبخ. أنت ستشرب. ,أنا حاطة الشاي عن الغاز إذا بدك تشربي
